AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,AP45,AP46,AP47,AP48,AP49,Room
-41,0,-72,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,-74,-65,-77,-86,0,0,0,0,0,0,0,0,-88,-82,0,-56,0,536
-44,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75,-70,-79,0,0,0,0,0,0,0,0,0,-86,-75,0,-50,-64,536
-44,-81,-59,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,-62,-80,-87,0,0,0,0,0,0,0,-79,-88,-81,0,-49,-67,536
-64,0,-78,-70,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,-62,-67,-65,-70,0,-81,0,0,-86,0,0,0,0,0,-86,0,-65,0,5201
-57,0,-78,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,-60,-53,0,-79,-80,0,0,-85,0,0,0,0,0,0,0,0,0,5201
-70,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-59,-74,-80,-82,0,0,-87,0,0,0,0,0,0,0,-74,-79,5201
-54,0,-82,-77,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,0,0,-57,-63,-57,-69,-76,0,0,0,0,0,0,0,0,0,-88,0,-68,0,5201
-64,0,-73,0,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,-87,0,-79,0,-71,-63,-66,-73,-71,0,-80,-81,0,0,0,0,-90,-84,0,0,0,5201
-64,0,-83,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,-73,-65,-64,-69,-79,-76,-79,0,0,0,0,0,0,-90,0,-63,0,5211
-63,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,-88,0,0,0,-71,-65,-58,-69,-71,0,0,-72,0,0,0,0,0,0,0,-79,0,5211
-62,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,-76,-62,-65,-79,-78,0,-89,0,0,0,0,0,0,0,0,0,-77,5211
-79,0,-90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-68,-59,-69,-74,0,0,-79,0,0,0,0,0,0,0,0,0,5211
-74,0,-89,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,-90,0,0,0,-87,0,0,-77,-73,-69,-54,-67,-69,0,-62,-86,0,0,0,0,0,0,0,0,0,5211
-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-71,-52,-60,-70,0,0,-77,0,0,0,0,0,0,0,0,0,5221
-80,0,0,-85,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,-84,-76,-54,-59,-66,-77,-61,-76,0,0,0,0,0,0,0,0,0,5221
