AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,AP31,AP32,AP33,AP34,AP35,AP36,AP37,AP38,AP39,AP40,AP41,AP42,AP43,AP44,Room
0,0,-81,0,-78,-71,-73,-78,-69,-63,-65,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071
0,-82,0,0,-82,0,-73,-75,-68,-55,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,0,0,0,0,0,0,4071
0,0,0,0,-86,-85,-68,-74,-72,-54,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071
0,0,0,0,0,0,-75,-80,-77,-57,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071
0,0,0,0,0,-82,-78,-73,-69,-61,-75,-92,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071
0,0,0,-91,-88,0,-72,0,-65,-69,-73,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071
0,0,0,0,0,-85,-74,-84,-75,-63,-78,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4071
0,0,0,0,-78,0,-69,0,-75,-63,0,-84,0,0,0,-58,-77,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,0,0,-87,-75,0,-83,0,0,0,-71,-80,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,-86,-83,-82,-74,0,0,0,0,0,-70,-77,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,-88,0,-86,-76,0,-82,0,0,0,-68,-79,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,-87,0,-88,-78,0,0,0,0,0,-63,-83,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,-83,0,-85,-70,-83,-74,0,0,0,-59,-73,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,-84,0,-82,-74,0,-75,0,0,0,-60,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,-77,0,-78,-68,0,0,0,0,0,-60,-71,-67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,0,0,-71,0,-85,-74,0,0,0,0,0,-61,-72,-65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,0,0,0,-82,0,-76,0,-82,-69,0,-72,0,0,0,-62,-78,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407
0,-80,0,-91,-90,-78,-71,-72,-71,-63,-58,0,0,0,0,-73,-87,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061
0,0,0,0,-77,0,-64,-72,-70,-70,-74,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061
0,0,0,0,-77,-73,-69,0,-64,-57,-69,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4061
0,-81,-81,-80,0,-66,-58,-69,-58,-61,-69,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4051
0,-82,-79,-86,-80,-57,-56,-70,-69,-69,-73,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4051
0,0,0,0,-85,-50,-48,-73,-64,-67,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4051
0,0,0,0,-76,-58,-51,0,-67,-70,-76,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4051
0,-79,0,0,-76,-66,-53,-69,-62,-68,-74,0,-81,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4051
-88,-81,-79,-84,-71,-80,-70,-79,-86,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,-81,-72,0,-63,-78,-63,0,-70,-71,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,0,-79,0,-71,-71,-66,-82,-82,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,-84,0,0,-75,-75,-65,-79,-82,-79,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
0,0,-84,0,-77,-71,-72,-80,-85,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
-85,-84,-77,-77,-65,-75,-66,-74,-80,-75,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4041
-82,-79,-62,0,-49,-83,-73,-87,-82,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031
0,-84,-70,0,-52,-81,-77,-84,-85,-81,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031
0,0,-74,0,-51,-83,-74,-88,-86,-81,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,4031
-83,-80,-65,-82,-47,0,-73,0,-87,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031
0,0,-74,-78,-58,-79,-77,-80,-85,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031
0,-83,-79,-88,0,-79,-74,-82,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4031
0,-79,-75,-82,-59,0,-76,-87,-84,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,4031
-81,-74,-57,0,-68,0,-84,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-87,0,4021
-87,-78,-56,-87,-64,0,-82,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,4021
-76,-74,-56,-73,-64,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,-86,-77,-85,4021
-74,-63,-48,-72,-59,0,-78,0,-87,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,-81,4021
-71,-71,-50,-76,0,0,-82,0,-85,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,0,0,0,0,0,-86,0,0,0,-81,-79,0,0,4011
-77,-78,-44,-87,-73,0,-80,0,-86,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,-86,-88,-77,4011
-60,-59,-46,-75,-80,0,-88,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-78,0,0,0,0,0,0,0,0,0,-80,-76,-70,-78,-67,4011
-61,-70,-51,-79,-84,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,-76,0,0,0,0,0,0,0,0,0,-81,-79,-76,-87,-66,4011
-59,-67,-45,-67,-68,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-82,0,0,0,0,0,0,-85,0,0,-80,-72,-80,-78,-66,4011
-60,-52,-70,-75,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,-70,-81,0,-88,0,0,0,-82,0,0,-83,-76,-79,-79,-58,4351
-54,-50,-70,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,-79,-76,-74,-84,0,0,0,0,0,0,0,0,-72,-64,-67,-74,-50,4351
-50,-58,-65,-58,-76,0,0,0,0,-82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,-71,-73,-80,0,-80,0,0,0,0,0,0,-75,-65,-62,-68,-56,4351
-54,-50,-69,-80,-89,0,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,-82,-77,-74,-81,0,0,0,0,-75,-82,0,0,-73,-61,-66,-75,-51,4351
-60,-55,-77,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66,-73,0,0,-81,0,0,0,0,0,0,0,-68,-62,-70,-65,4341
-59,-54,-83,-79,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,-73,-85,0,0,-92,0,0,0,0,0,0,-77,-60,-60,-79,-67,4341
-57,-56,-78,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70,-77,0,0,-92,0,0,0,0,0,0,-82,-67,-66,-79,-71,4341
-54,-52,-74,-71,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-65,0,0,0,0,0,0,0,-84,0,0,-78,-61,-61,-65,-68,4341
-56,-50,-73,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-72,-73,0,0,0,0,0,0,-85,0,0,-75,-65,-65,-80,-69,4341
